DISTRICT_ID,DISTRICT,STATE_ID
1,24 PARGANAS NORTH,35
2,24 PARGANAS SOUTH,35
3,A and N ISLANDS,1
4,ADILABAD,2
5,AGAR,20
6,AGRA,33
7,AHMEDABAD COMMR.,12
8,AHMEDABAD RURAL,12
9,AHMEDNAGAR,21
10,AHWA-DANG,12
11,AIZAWL,24
12,AJMER,29
13,AKOLA,21
14,ALAPUZHA,18
15,ALIGARH,33
16,ALIRAJPUR,20
17,ALLAHABAD,33
18,ALMORA,34
19,ALWAR,29
20,AMBALA,13
21,AMBALA RURAL,13
22,AMBALA URBAN,13
23,AMBEDKAR NAGAR,33
24,AMETHI,33
25,AMRAVATI COMMR.,21
26,AMRAVATI RURAL,21
27,AMRELI,12
28,AMRITSAR,28
29,AMRITSAR RURAL,28
30,AMROHA,33
31,ANAND,12
32,ANANTAPUR,2
33,ANANTNAG,15
34,ANDAMAN,1
35,ANGUL,26
36,ANJAW,3
37,ANUPPUR,20
38,ARARIA,5
39,ARIYALUR,31
40,ARWAL,5
41,ASANSOL,35
42,ASHOK NAGAR,20
43,AURAIYA,33
44,AURANGABAD,5
45,AURANGABAD COMMR.,21
46,AURANGABAD RURAL,21
47,AWANTIPORA,15
48,AZAMGARH,33
49,BADAUN,33
50,BADDIPOLICEDIST,14
51,BAGAHA,5
52,BAGALKOT,17
53,BAGESHWAR,34
54,BAGHPAT,33
55,BAHRAICH,33
56,BAKSA,4
57,BALAGHAT,20
58,BALASORE,26
59,BALLIA,33
60,BALOD,7
61,BALODA BAZAR,7
62,BALRAMPUR,7
63,BANDA,33
64,BANDIPORA,15
65,BANGALORE COMMR.,17
66,BANGALORE RURAL,17
67,BANKA,5
68,BANKURA,35
69,BANSWARA,29
70,BARABANKI,33
71,BARAGARH,26
72,BARAMULLA,15
73,BARAN,29
74,BAREILLY,33
75,BARMER,29
76,BARNALA,28
77,BARPETA,4
78,BARWANI,20
79,BASKA,4
80,BASTI,33
81,BATALA,28
82,BDN CP,35
83,BEED,21
84,BEGUSARAI,5
85,BELGAUM,17
86,BELLARY,17
87,BEMETARA,7
88,BERHAMPUR,26
89,BETTIAH,5
90,BETUL,20
91,BHABHUA,5
92,BHADRAK,26
93,BHAGALPUR,5
94,BHANDARA,21
95,BHARATPUR,29
96,BHARUCH,12
97,BHATINDA,28
98,BHAVNAGAR,12
99,BHILWARA,29
100,BHIM NAGAR,33
101,BHIND,20
102,BHIWANI,13
103,BHOJPUR,5
104,BHOPAL,20
105,BHOPAL RLY.,20
106,BIDAR,17
107,BIEO,4
108,BIJAPUR,17
109,BIJNOR,33
110,BIKANER,29
111,BILASPUR,7
112,BIRBHUM,35
113,BISHNUPUR,22
114,BIZAPUR,7
115,BKP CP,35
116,BOKARO,16
117,BOLANGIR,26
118,BONGAIGAON,4
119,BORDER,15
120,BORDER DISTRICT,15
121,BOUDH,26
122,BUDGAM,15
123,BULANDSHAHAR,33
124,BULDHANA,21
125,BUNDI,29
126,BURDWAN,35
127,BURHANPUR,20
128,BUXAR,5
129,C.B.KASHMIR,15
130,C.I.D.,4
131,CACHAR,4
132,CAR,1
133,CAW,10
134,CBCID,18
135,CBPURA,17
136,CENTRAL,10
137,CHAIBASA,16
138,CHAMARAJNAGAR,17
139,CHAMBA,14
140,CHAMOLI,34
141,CHAMPAWAT,34
142,CHAMPHAI,24
143,CHANDEL,22
144,CHANDIGARH,6
145,CHANDOLI,33
146,CHANDRAPUR,21
147,CHANGLANG,3
148,CHATRA,16
149,CHENGAI,31
150,CHENNAI,31
151,CHENNAI RLY.,31
152,CHENNAISUBURBAN,31
153,CHHATARPUR,20
154,CHHINDWARA,20
155,CHICKMAGALUR,17
156,CHIRANG,4
157,CHITRADURGA,17
158,CHITRAKOOT DHAM,33
159,CHITTOOR,2
160,CHITTORGARH,29
161,CHURACHANDPUR,22
162,CHURU,29
163,CID,22
164,CID CRIME,12
165,COIMBATORE RURAL,31
166,COIMBATORE URBAN,31
167,COOCHBEHAR,35
168,CP AMRITSAR,28
169,CP JALANDHAR,28
170,CP LUDHIANA,28
171,CRIME BRANCH,10
172,CRIME JAMMU,15
173,CRIME SRINAGAR,15
174,CSM NAGAR,33
175,CUDDALORE,31
176,CUDDAPAH,2
177,CUTTACK,26
178,CYBERABAD,2
179,D and N HAVELI,8
180,D&N HAVELI,8
181,DAHOD,12
182,DAKSHIN DINAJPUR,35
183,DAKSHIN KANNADA,17
184,DAMAN,9
185,DAMOH,20
186,DANTEWADA,7
187,DANTEWARA,7
188,DARBHANGA,5
189,DARJEELING,35
190,DARRANG,4
191,DATIYA,20
192,DAUSA,29
193,DAVANAGERE,17
194,DCP BBSR,26
195,DCP CTC,26
196,DEHRADUN,34
197,DEOGARH,26
198,DEOGHAR,16
199,DEORIA,33
200,DEWAS,20
201,DHALAI,32
202,DHAMTARI,7
203,DHANBAD,16
204,DHANBAD RLY.,16
205,DHAR,20
206,DHARMAPURI,31
207,DHARWAD COMMR.,17
208,DHARWAD RURAL,17
209,DHEMAJI,4
210,DHENKANAL,26
211,DHOLPUR,29
212,DHUBRI,4
213,DHULE,21
214,DIBANG VALLEY,3
215,DIBRUGARH,4
216,DIMAPUR,25
217,DINDIGUL,31
218,DINDORI,20
219,DISCOM,29
220,DIU,9
221,DODA,15
222,DRP,10
223,DUMKA,16
224,DUNGARPUR,29
225,DURG,7
226,EAST,30
227,EAST GODAVARI,2
228,EOW,10
229,ERNAKULAM,18
230,ERNAKULAM COMMR.,18
231,ERNAKULAM RURAL,18
232,ERODE,31
233,ETAH,33
234,ETAWAH,33
235,FAIZABAD,33
236,FARIDABAD,13
237,FARIDKOT,28
238,FATEHABAD,13
239,FATEHGARH,33
240,FATEHGARH SAHIB,28
241,FATEHPUR,33
242,FAZILKA,28
243,FEROZEPUR,28
244,FEROZPUR,28
245,FIROZABAD,33
246,G.R.P,28
247,G.R.P.,4
248,G.R.P. AJMER,29
249,G.R.P. JODHPUR,29
250,G.R.P.(RLY),10
251,G.R.P.AJMER,29
252,G.R.P.JODHPUR,29
253,GADAG,17
254,GADCHIROLI,21
255,GAJAPATI,26
256,GANDERBAL,15
257,GANDHINAGAR,12
258,GANGANAGAR,29
259,GANJAM,26
260,GARHWA,16
261,GARIYABAND,7
262,GARO HILLS EAST,23
263,GARO HILLS NORTH,23
264,GARO HILLS SOUTH,23
265,GARO HILLS SOUTH W.,23
266,GARO HILLS WEST,23
267,GAUTAMBUDH NAGAR,33
268,GAYA,5
269,GHAZIABAD,33
270,GHAZIPUR,33
271,GIRIDIH,16
272,GOALPARA,4
273,GODDA,16
274,GOLAGHAT,4
275,GOMATI,32
276,GONDA,33
277,GONDIA,21
278,GOPALGANJ,5
279,GORAKHPUR,33
280,GRP,13
281,GRP RAIPUR,7
282,GRP(RLY),10
283,GULBARGA,17
284,GUMALA,16
285,GUMLA,16
286,GUNA,20
287,GUNTAKAL RLY.,2
288,GUNTUR,2
289,GUNTUR URBAN,2
290,GURDASPUR,28
291,GURGAON,13
292,GUWAHATI CITY,4
293,GWALIOR,20
294,HAILAKANDI,4
295,HAMIRPUR,14
296,HAMREN,4
297,HANDWARA,15
298,HANUMANGARH,29
299,HAPUR,33
300,HARDA,20
301,HARDOI,33
302,HARIDWAR,34
303,HASSAN,17
304,HATHRAS,33
305,HAVERI,17
306,HAZARIBAGH,16
307,HIMATNAGAR,12
308,HINGOLI,21
309,HISAR,13
310,HISSAR,13
311,HOOGHLY,35
312,HOSHANGABAD,20
313,HOSHIARPUR,28
314,HOWRAH,35
315,HOWRAH CITY,35
316,HOWRAH G.R.P.,35
317,HYDERABAD CITY,2
318,I&P HARYANA,13
319,I.G.I.AIRPORT,10
320,IDUKKI,18
321,IGI AIRPORT,10
322,IMPHAL EAST,22
323,IMPHAL WEST,22
324,IMPHAL(EAST),22
325,IMPHAL(WEST),22
326,INDORE,20
327,INDORE RLY.,20
328,J.P.NAGAR,33
329,JABALPUR,20
330,JABALPUR RLY.,20
331,JAGATSINGHPUR,26
