STATE_ID,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
1,2001,0,0,0,0,0,0,0,0,0,0
1,2002,0,0,0,0,0,0,0,0,0,0
1,2003,0,0,0,0,0,0,0,0,0,0
1,2004,0,0,0,0,0,0,0,0,0,0
1,2005,0,0,0,0,0,0,0,0,0,0
1,2006,0,0,0,0,0,0,0,0,0,0
1,2007,0,0,0,0,0,0,0,0,0,0
1,2008,0,0,0,0,0,0,0,0,0,0
1,2009,0,0,0,0,0,0,0,0,0,0
1,2010,0,0,0,0,0,0,0,0,0,0
1,2011,0,0,0,0,0,0,0,0,0,0
1,2012,0,0,0,0,0,0,0,0,0,0
1,2013,0,0,0,0,0,0,0,0,0,0
2,2001,45,69,22,3,2,6,518,950,312,1006
2,2002,60,98,18,0,4,12,568,830,459,1336
2,2003,33,79,27,1,15,4,615,1234,165,1386
2,2004,39,66,28,0,7,20,474,1319,68,1234
2,2005,37,74,21,0,0,9,459,1244,61,1212
2,2006,52,97,12,3,5,13,657,1514,93,1445
2,2007,46,105,25,0,0,17,541,1200,122,1327
2,2008,48,88,18,0,0,5,651,1383,123,1682
2,2009,35,99,19,1,4,12,722,1737,39,1836
2,2010,43,100,18,0,1,17,709,1509,50,1874
2,2011,64,131,19,1,0,14,708,1439,10,1630
2,2012,54,104,11,0,1,7,626,801,9,1444
2,2013,53,114,14,3,1,5,659,695,6,1720
3,2001,0,0,0,0,0,0,0,0,0,0
3,2002,0,0,0,0,0,0,0,0,0,0
3,2003,0,0,0,0,0,0,0,0,0,0
3,2004,0,0,0,0,0,0,0,0,0,0
3,2005,1,0,0,0,1,0,0,0,0,0
3,2006,0,0,0,0,0,0,0,0,0,0
3,2007,0,0,0,0,0,0,0,0,0,0
3,2008,0,0,0,0,0,0,0,0,0,0
3,2009,0,0,0,0,0,0,0,0,0,0
3,2010,0,0,0,0,0,0,0,0,0,0
3,2011,0,0,0,0,0,0,0,0,0,0
3,2012,0,0,0,0,0,0,0,0,0,0
3,2013,0,0,0,0,0,0,0,0,0,0
4,2001,0,0,0,0,1,1,4,0,0,0
4,2002,3,0,4,0,2,2,14,0,0,22
4,2003,8,7,4,0,1,3,23,0,0,21
4,2004,0,1,1,0,1,1,3,0,0,13
4,2005,21,14,25,3,8,7,111,0,0,93
4,2006,5,11,27,4,11,7,114,0,0,103
4,2007,11,8,15,2,3,1,48,0,1,37
4,2008,9,16,20,5,6,3,24,0,0,21
4,2009,0,0,0,0,0,0,0,0,0,0
4,2010,0,0,0,0,0,0,0,1,0,6
4,2011,0,0,0,0,0,0,0,0,0,0
4,2012,0,0,0,0,0,0,0,2,0,2
4,2013,0,0,0,0,0,0,0,4,0,4
5,2001,28,35,8,2,1,17,378,513,81,240
5,2002,33,36,1,3,4,8,360,715,113,306
5,2003,9,6,4,2,2,42,492,904,82,204
5,2004,14,14,6,3,10,30,389,1813,93,274
5,2005,12,16,5,4,6,19,319,1141,95,207
5,2006,16,19,2,1,9,22,336,1438,2,198
5,2007,26,32,10,4,11,12,381,1933,0,377
5,2008,46,23,29,7,17,44,433,2426,0,592
5,2009,22,19,13,0,8,40,539,2534,0,661
5,2010,24,16,20,0,6,15,351,2548,0,536
5,2011,29,29,29,3,3,13,355,3024,0,138
5,2012,27,39,0,0,0,47,191,4436,0,81
5,2013,50,68,9,0,1,51,289,5584,0,669
6,2001,0,1,0,0,0,0,0,2,0,0
6,2002,0,0,0,0,0,0,0,0,0,0
6,2003,0,1,0,0,0,0,0,0,0,0
6,2004,0,0,0,0,0,0,0,0,0,0
6,2005,0,0,0,0,0,0,0,0,0,0
6,2006,0,0,0,0,0,0,0,1,0,1
6,2007,0,0,0,0,0,0,0,0,0,0
6,2008,0,0,0,0,0,0,0,1,0,1
6,2009,0,0,0,0,0,0,0,0,0,0
6,2010,0,0,0,0,0,0,0,0,0,0
6,2011,0,0,0,0,0,0,0,1,0,0
6,2012,0,0,0,0,0,0,0,1,0,1
6,2013,0,0,0,0,0,0,0,2,0,2
7,2001,8,52,8,0,1,0,101,164,1,166
7,2002,11,64,10,1,0,5,72,77,22,181
7,2003,12,46,7,0,3,1,102,155,0,383
7,2004,25,77,7,0,5,4,89,138,0,353
7,2005,6,59,3,0,0,0,71,115,1,199
7,2006,10,49,1,0,2,0,48,120,0,214
7,2007,11,57,3,0,1,0,57,150,0,232
7,2008,7,55,0,0,0,3,16,2,0,301
7,2009,11,55,0,0,0,0,13,1,0,204
7,2010,8,44,0,0,0,2,11,1,0,205
7,2011,2,40,1,0,1,0,82,0,0,127
7,2012,6,63,3,0,0,2,81,0,0,107
7,2013,6,55,7,0,1,1,49,2,0,121
8,2001,0,0,0,0,0,0,0,0,0,0
8,2002,0,0,0,0,0,0,0,0,0,0
8,2003,0,0,0,0,0,0,0,0,0,0
8,2004,0,0,0,0,0,0,0,0,0,0
8,2005,0,0,0,0,0,0,0,0,0,2
8,2006,0,0,0,0,0,0,0,0,0,2
8,2007,0,0,0,0,0,0,0,0,0,0
8,2008,0,0,1,0,0,0,0,0,0,0
8,2009,0,0,1,0,0,0,0,0,0,0
8,2010,0,0,0,0,0,0,0,0,0,0
8,2011,0,0,0,0,0,0,0,0,0,1
8,2012,0,0,0,0,0,0,0,0,0,0
8,2013,0,0,0,0,0,0,0,0,0,0
9,2001,0,0,0,0,0,0,0,0,0,0
9,2002,0,0,0,0,0,0,0,0,0,0
9,2003,0,0,0,0,0,0,0,0,0,0
9,2004,0,0,0,0,0,0,0,0,0,0
9,2005,0,0,0,0,0,0,0,0,0,2
9,2006,0,0,0,0,0,0,0,0,0,1
9,2007,0,0,0,0,0,0,0,0,0,0
9,2008,0,0,0,0,0,0,0,0,0,0
9,2009,0,0,0,0,0,0,0,0,0,2
9,2010,0,0,0,0,0,0,0,0,0,0
9,2011,0,0,0,0,0,0,0,0,0,0
9,2012,0,0,0,0,0,0,0,0,0,0
9,2013,0,0,0,0,0,0,1,0,0,0
10,2001,0,0,0,0,0,0,0,17,2,0
10,2002,0,0,0,0,0,0,0,15,1,0
10,2003,1,0,0,0,0,0,0,12,0,0
10,2004,0,0,0,0,0,0,0,4,0,0
10,2005,0,0,0,0,0,0,0,20,1,0
10,2006,0,0,0,0,0,0,0,21,0,0
10,2007,0,0,0,0,0,0,0,24,0,0
10,2008,0,0,0,0,0,0,0,34,0,0
